date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:03:14	49241/49241	---M--	200	added ('OK')	image/jpeg	etag:%22c059-5fcd6862006c0%22	https://caketheme.com/html/mojuri/media/banner/instagram-2.jpg	D:/Downloads/Sliver_Ring/caketheme.com/html/mojuri/media/banner/instagram-2.jpg	(from https://caketheme.com/html/mojuri/index2.html)
18:03:14	52126/52126	---M--	200	added ('OK')	image/jpeg	etag:%22cb9e-5fcd6863e8b40%22	https://caketheme.com/html/mojuri/media/banner/instagram-4.jpg	D:/Downloads/Sliver_Ring/caketheme.com/html/mojuri/media/banner/instagram-4.jpg	(from https://caketheme.com/html/mojuri/index2.html)
18:03:15	30491/30491	---M--	200	added ('OK')	image/jpeg	etag:%22771b-5fcd6865d0fc0%22	https://caketheme.com/html/mojuri/media/banner/instagram-5.jpg	D:/Downloads/Sliver_Ring/caketheme.com/html/mojuri/media/banner/instagram-5.jpg	(from https://caketheme.com/html/mojuri/index2.html)
18:03:15	39519/39519	---M--	200	added ('OK')	image/jpeg	etag:%229a5f-5fcd6863e8b40%22	https://caketheme.com/html/mojuri/media/banner/instagram-6.jpg	D:/Downloads/Sliver_Ring/caketheme.com/html/mojuri/media/banner/instagram-6.jpg	(from https://caketheme.com/html/mojuri/index2.html)
18:03:15	1474917/1474917	---M--	200	added ('OK')	image/jpeg	etag:%22168165-5fcd6864dcd80%22	https://caketheme.com/html/mojuri/media/banner/parallax-bg-3.jpg	D:/Downloads/Sliver_Ring/caketheme.com/html/mojuri/media/banner/parallax-bg-3.jpg	(from https://caketheme.com/html/mojuri/assets/css/app.css)
18:03:17	146222/146222	---M--	200	added ('OK')	image/jpeg	etag:%2223b2e-5fcd684287c80%22	https://caketheme.com/html/mojuri/media/slider/3-3.jpg	D:/Downloads/Sliver_Ring/caketheme.com/html/mojuri/media/slider/3-3.jpg	(from https://caketheme.com/html/mojuri/index3.html)
18:03:17	14554/14554	---M--	200	added ('OK')	image/jpeg	etag:%2238da-5fcd684a28e80%22	https://caketheme.com/html/mojuri/media/product/cat-3-1.jpg	D:/Downloads/Sliver_Ring/caketheme.com/html/mojuri/media/product/cat-3-1.jpg	(from https://caketheme.com/html/mojuri/index3.html)
18:03:17	151631/151631	---M--	200	added ('OK')	image/jpeg	etag:%222504f-5fcd684470100%22	https://caketheme.com/html/mojuri/media/slider/3-1.jpg	D:/Downloads/Sliver_Ring/caketheme.com/html/mojuri/media/slider/3-1.jpg	(from https://caketheme.com/html/mojuri/index3.html)
18:03:17	6374/6374	---M--	200	added ('OK')	image/jpeg	etag:%2218e6-5fcd684a28e80%22	https://caketheme.com/html/mojuri/media/product/cat-3-2.jpg	D:/Downloads/Sliver_Ring/caketheme.com/html/mojuri/media/product/cat-3-2.jpg	(from https://caketheme.com/html/mojuri/index3.html)
18:03:17	223697/223697	---M--	200	added ('OK')	image/jpeg	etag:%22369d1-5fcd68437bec0%22	https://caketheme.com/html/mojuri/media/slider/3-2.jpg	D:/Downloads/Sliver_Ring/caketheme.com/html/mojuri/media/slider/3-2.jpg	(from https://caketheme.com/html/mojuri/index3.html)
18:03:17	23709/23709	---M--	200	added ('OK')	image/jpeg	etag:%225c9d-5fcd684b1d0c0%22	https://caketheme.com/html/mojuri/media/product/cat-3-3.jpg	D:/Downloads/Sliver_Ring/caketheme.com/html/mojuri/media/product/cat-3-3.jpg	(from https://caketheme.com/html/mojuri/index3.html)
18:03:17	22137/22137	---M--	200	added ('OK')	image/jpeg	etag:%225679-5fcd684c11300%22	https://caketheme.com/html/mojuri/media/product/cat-3-4.jpg	D:/Downloads/Sliver_Ring/caketheme.com/html/mojuri/media/product/cat-3-4.jpg	(from https://caketheme.com/html/mojuri/index3.html)
18:03:18	41035/41035	---M--	200	added ('OK')	image/jpeg	etag:%22a04b-5fcd685f24000%22	https://caketheme.com/html/mojuri/media/banner/lookbook-3-1.jpg	D:/Downloads/Sliver_Ring/caketheme.com/html/mojuri/media/banner/lookbook-3-1.jpg	(from https://caketheme.com/html/mojuri/index3.html)
18:03:18	29289/29289	---M--	200	added ('OK')	image/jpeg	etag:%227269-5fcd686018240%22	https://caketheme.com/html/mojuri/media/banner/lookbook-3-2.jpg	D:/Downloads/Sliver_Ring/caketheme.com/html/mojuri/media/banner/lookbook-3-2.jpg	(from https://caketheme.com/html/mojuri/index3.html)
18:03:18	31525/31525	---M--	200	added ('OK')	image/jpeg	etag:%227b25-5fcd685c47940%22	https://caketheme.com/html/mojuri/media/banner/intro-3.jpg	D:/Downloads/Sliver_Ring/caketheme.com/html/mojuri/media/banner/intro-3.jpg	(from https://caketheme.com/html/mojuri/index3.html)
